"Size","Cost","Stdev"
"1000","1.299","0.529402202960878"
"2000","1.327","0.5185983624553493"
"3000","1.3443333333333334","0.6708500285213854"
"4000","3.32925","2.629616978704005"
"5000","1.421","0.7105166426432035"
"6000","1.7948333333333333","0.9621111350945906"
"7000","1.3214285714285714","0.5658861425283086"
"8000","4.41275","2.8020839317139266"
"9000","1.1263333333333334","0.380844929371774"
"10000","1.5471","0.7535027471385435"
"11000","1.1692727272727272","0.4264563788891303"
"12000","1.9906666666666666","1.018288116942115"
"13000","1.2015384615384614","0.4543569853130579"
"14000","1.3737142857142857","0.586600974524985"
"15000","1.1662666666666666","0.40727717299452104"
"16000","4.980625","2.856472464239879"
"17000","1.619235294117647","0.830327149732575"
"18000","1.1239444444444444","0.37137770745627696"
"19000","1.434","0.6465775907294774"
"20000","1.60515","0.7754306474388482"
"21000","1.0964285714285715","0.34995554574812276"
"22000","1.2624090909090908","0.5194568348047864"
"23000","1.2606521739130434","0.5002952309730236"
"24000","1.908625","0.9725649994275914"
"25000","1.13144","0.37906620832549714"
"26000","1.3142692307692307","0.5465422287793372"
"27000","1.162925925925926","0.4382074141606322"
"28000","1.2779642857142857","0.5312322746205368"
"29000","1.077448275862069","0.3227311816864204"
"30000","1.1518666666666666","0.3956934682245129"
"31000","1.3121290322580645","0.5900266179363074"
"32000","4.2468125","2.5804783725499294"
"33000","1.3761515151515151","0.5784877455940547"
"34000","1.5677058823529413","0.7706785343691834"
"35000","1.327457142857143","0.5981142743326996"
"36000","1.068888888888889","0.29848661961976847"
"37000","1.1129189189189188","0.359466761266533"
"38000","1.3893421052631578","0.599504113658292"
"39000","1.1808717948717948","0.4324488661575678"
"40000","1.551125","0.7535878610202406"
"41000","1.9521707317073171","1.0851942821125287"
"42000","1.2280952380952381","0.49885369458990464"
"43000","1.1547674418604652","0.4153375190087588"
"44000","1.226590909090909","0.4942405626072236"
"45000","1.1371555555555555","0.39487537401619244"
"46000","1.6529782608695651","0.8535517689795997"
"47000","1.5466170212765957","0.8032978961668283"
"48000","2.315729166666667","1.2587607306833697"
"49000","1.2537142857142858","0.5252159822917764"
"50000","1.43876","0.6811892699257615"
